ANO;TOTAL;Automovel;Motocicleta;Caminhonete;Camioneta;Caminhoes;Reboque;Utilitario;onibus;Micro-onibus;Semirreboque;Outros
2021,00;1898404,00;1327453,00;223129,00;128072,00;105267,00;29326,00;25964,00;33392,00;13223,00;6190,00;4837,00;1551,00
2020,00;1886356,00;1320942,00;221298,00;126013,00;104733,00;29138,00;25791,00;32702,00;13253,00;6194,00;4756,00;1536,00
2019,00;1840639,00;1296597,00;212805,00;120512,00;101559,00;28380,00;24955,00;30427,00;13379,00;6030,00;4478,00;1517,00
2018,00;1773275,00;1256207,00;203483,00;113883,00;97317,00;27283,00;23618,00;27267,00;12764,00;5833,00;4113,00;1507,00
2017,00;1716858,00;1221700,00;196292,00;108904,00;92686,00;26814,00;22503,00;24409,00;12504,00;5633,00;3904,00;1509,00
2016,00;1665165,00;1188928,00;190440,00;104166,00;88223,00;26587,00;21459,00;22299,00;12259,00;5435,00;3880,00;1489,00
2015,00;1622396,00;1163978,00;185138,00;99417,00;84152,00;23134,00;20461,00;20273,00;12111,00;5297,00;3767,00;4668,00
2014,00;1563382,00;1129022,00;176658,00;94634,00;78721,00;22405,00;18746,00;18014,00;11713,00;5154,00;3526,00;4789,00
2013,00;1491539,00;1084590,00;167489,00;87651,00;73443,00;21723,00;17442,00;15679,00;10682,00;4890,00;3269,00;4681,00
2012,00;1403788,00;1026451,00;157992,00;79249,00;68552,00;20954,00;16629,00;13250,00;8819,00;4720,00;2936,00;4236,00
